"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10236","3.93650794","0.0","0.25403226","0.0","1","7","false","C9orf78","23.0","1","0","0","0.67372134","false","0","C9orf78","0","0.0"
"10237","2.93719807","0.00303406","0.34046053","0.18181818","23","6","false","TRIM25","36.2173913","23","0","0","0.78475577","false","0","TRIM25","94268","0.09806238"
"10239","3.24361629","3.9184E-4","0.30829787","0.0952381","7","6","false","CA4","22.71428571","7","0","0","0.7507093","false","0","CA4","7594","0.15805471"
"10241","2.99654934","0.00108075","0.33371718","0.12820513","13","6","false","SEMA4A","33.69230769","13","0","0","0.77816118","false","0","SEMA4A","23856","0.10647131"
"10245","3.64665286","4.066E-4","0.27422407","0.0","5","7","false","IP6K1","10.0","5","0","0","0.70592746","false","0","IP6K1","6866","0.2"
"10249","3.14216701","9.8133E-4","0.3182517","0.07575758","12","6","false","CAB39","20.58333333","12","0","0","0.76198144","false","0","CAB39","24860","0.10299145"
"10250","3.42443064","2.671E-4","0.29201935","0.26666667","6","6","false","STRADB","17.16666667","6","0","0","0.73061882","false","0","STRADB","6314","0.18703704"
"10257","3.12974465","4.6629E-4","0.31951488","0.04761905","7","6","false","STK38L","34.14285714","7","0","0","0.76336171","false","0","STK38L","11038","0.17320503"
"10260","3.73706004","3.023E-5","0.26759003","0.33333333","4","7","false","FAM20A","11.25","4","0","0","0.69588222","false","0","FAM20A","384","0.28205128"
"10265","3.38371291","4.5076E-4","0.29553335","0.47619048","7","7","false","KCNC1","19.42857143","7","0","0","0.73514301","false","0","KCNC1","13988","0.18723994"
"10267","4.12491373","4.288E-5","0.24242931","0.0","3","7","false","TSPEAR","6.33333333","3","0","0","0.65278736","false","0","TSPEAR","478","0.33333333"
"10271","3.10144928","0.00118303","0.32242991","0.21212121","12","6","false","GPSM2","29.66666667","12","0","0","0.76650564","false","0","GPSM2","30368","0.12902047"
"10273","3.19530711","1.7952E-4","0.31295896","0.16666667","4","6","false","RASGRP4","61.75","4","0","0","0.75607699","false","0","RASGRP4","5620","0.31735751"
"10276","3.20013803","0.00269357","0.31248652","0.16666667","9","6","false","SPOPL","24.11111111","9","0","0","0.75554022","false","0","SPOPL","63598","0.13986928"
"10279","3.3436853","3.143E-4","0.29907121","0.47222222","9","6","false","RGS10","26.11111111","9","0","0","0.73959052","false","0","RGS10","7800","0.208"
"10282","3.68599034","2.017E-5","0.27129751","0.0","3","7","false","CAMKK1","13.0","3","0","0","0.70155663","false","0","CAMKK1","326","0.33333333"
"10284","3.43409248","5.591E-5","0.29119775","0.5","4","6","false","CLN6","25.0","4","0","0","0.72954528","false","0","CLN6","1096","0.27808989"
"10305","3.34437543","1.8212E-4","0.29900949","0.28571429","8","6","false","EGLN2","21.375","8","0","0","0.73951384","false","0","EGLN2","4104","0.1880531"
"10325","3.71152519","2.9E-7","0.26943102","0.0","2","7","false","MRGPRX2","29.0","2","0","0","0.69871942","false","0","MRGPRX2","12","0.54901961"
"10333","3.86611456","5.061E-5","0.25865762","0.0","3","7","false","CCDC28A","12.33333333","3","0","0","0.68154283","false","0","CCDC28A","750","0.33333333"
"10339","3.11042098","0.00186709","0.32149989","0.10909091","11","7","false","RIN2","27.63636364","11","0","0","0.76550878","false","0","RIN2","44952","0.12217195"
"10348","3.81021394","0.0","0.26245245","0.0","1","7","false","DNAJC25-GNG10","17.0","1","0","0","0.68775401","false","0","DNAJC25-GNG10","0","0.0"
"10369","3.13250518","0.0","0.31923331","1.0","2","6","false","PRTFDC1","112.5","2","0","0","0.76305498","false","0","PRTFDC1","0","0.53827751"
"10378","3.24430642","0.00135982","0.30823229","0.05555556","9","6","false","FKBP15","20.88888889","9","0","0","0.75063262","false","0","FKBP15","28066","0.12951168"
"10382","3.58040028","5.13E-6","0.27929838","0.0","2","7","false","PLEKHO2","32.0","2","0","0","0.71328886","false","0","PLEKHO2","154","0.5"
"10384","3.18357488","3.0552E-4","0.31411229","0.04761905","7","6","false","CDC42EP4","34.0","7","0","0","0.75738057","false","0","CDC42EP4","8512","0.17246484"
"10394","3.5942029","1.2568E-4","0.27822581","0.1","5","7","false","PLEKHO1","13.0","5","0","0","0.71175523","false","0","PLEKHO1","3042","0.22142857"
"10397","3.59489303","1.5733E-4","0.27817239","0.38095238","7","7","false","CASC3","13.28571429","7","0","0","0.71167855","false","0","CASC3","2798","0.21545667"
"10398","3.13871636","7.1457E-4","0.31860158","0.13888889","9","6","false","DHX8","28.88888889","9","0","0","0.76236485","false","0","DHX8","15364","0.12979798"
"10402","3.6031746","9.285E-5","0.27753304","0.0","4","7","false","THOC5","12.0","4","0","0","0.71075838","false","0","THOC5","1988","0.25"
"10405","3.90131125","0.0","0.25632408","1.0","2","7","false","DHX34","13.5","2","0","0","0.67763208","false","0","DHX34","0","0.61363636"
