	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
LMO2	-0.131682374607179	5.76707663680389	-1.26394907497698	0.234702193031345	0.875122405814658	-4.54705410330995	Stable
TESMIN	-0.222030507341275	2.20834271102664	-1.30301488179114	0.221555719674031	0.872378834614433	-4.5471249835716	Stable
POU2F2-AS1	-0.732955118416224	0.33430142116701	-1.74840594342926	0.11073406133204	0.857265311192949	-4.54718776226175	Stable
COX5A	0.145498997062913	4.65877759847895	1.25172071471359	0.238946138811881	0.8756707764429	-4.54722502340366	Stable
ZNF519	-0.323738458456854	1.27638376932425	-1.40458908427857	0.19020842630272	0.872378834614433	-4.54723464339775	Stable
C2CD2L	-0.143613434610143	5.73010527582254	-1.26374927204816	0.234771038386737	0.875122405814658	-4.54729311162766	Stable
RNFT1-DT	-1.13582903259552	-0.637508665817971	-2.27778436037415	0.045767577507994	0.854474666675172	-4.54732734545499	Stable
AAMDC	0.587009759055606	0.297600785856031	1.70161448455199	0.119425010013296	0.857265311192949	-4.5473723386247	Stable
SUGT1	0.16516364432157	4.33080121406843	1.24658993370434	0.240745327633699	0.875719777324291	-4.54749537776955	Stable
HLF	-0.452333523108623	0.441586972829118	-1.6203939325196	0.135981180769477	0.861053535480745	-4.54749709510974	Stable
EMBP1	-0.446874335581709	1.74171930612436	-1.34182669136084	0.209103397618193	0.872378834614433	-4.54753455263618	Stable
TDRD3	-0.194957675465178	3.31960546214584	-1.24145688474496	0.242556311944811	0.875913265932986	-4.54759528118066	Stable
ASMTL-AS1	-0.500230583852544	1.66966594426784	-1.35716299188476	0.204346560549812	0.872378834614433	-4.54760429165456	Stable
CASK	-0.167335695304154	3.79265172101272	-1.24066192791724	0.24283776573283	0.875913265932986	-4.54761046224481	Stable
MKS1	-0.20428175614399	2.73664707408795	-1.25699223677943	0.237109010583184	0.875357662324813	-4.54765898576056	Stable
POLR2J2	-0.295959093250131	3.01695664116237	-1.24749459184561	0.240427297776877	0.875719777324291	-4.54766419865547	Stable
POC1B-GALNT4	1.33100190852186	0.743572581416104	1.58009539807978	0.144931961139635	0.872378834614433	-4.5476708066766	Stable
CHST7	-0.215906367050602	4.52094673054702	-1.2470922407349	0.240568700917298	0.875719777324291	-4.54773589475738	Stable
REG4	-1.25432793042658	-0.803055846109773	-2.56517225094974	0.027965285409165	0.854474666675172	-4.54778591574771	Stable
RAP1GAP	-0.767924421092395	-0.200619829373392	-1.81918483093072	0.0986785379867164	0.857265311192949	-4.54784134520191	Stable
SLC9A3R2	0.640396451583918	0.943770573036423	1.51208528328316	0.161219864618441	0.872378834614433	-4.54786529552771	Stable
CD248	0.334964178251685	1.87276851729445	1.31600482620624	0.217321298565789	0.872378834614433	-4.54797015037666	Stable
DERL1	0.1008666511235	6.10991012132031	1.26129562973105	0.235617826637695	0.875357662324813	-4.54814176408626	Stable
CFAP58-DT	-0.509659811293289	0.80802120551933	-1.61890196721183	0.136303603826234	0.861413933820339	-4.54819525148145	Stable
APOO	0.672126097440861	0.80825278555209	1.59201586612303	0.142231446984846	0.868364725545163	-4.54823656148212	Stable
FGD6	-0.202592767845855	3.03007977844089	-1.24703491742814	0.240588852243297	0.875719777324291	-4.54843508774669	Stable
FNIP2	0.118008227950197	3.98551100750425	1.24040066714845	0.242930322699219	0.875913265932986	-4.54855179561714	Stable
GPR68	0.19626702612736	4.53447364963541	1.25177095321718	0.238928576126494	0.8756707764429	-4.54858184159694	Stable
SEC16B	-2.63802839863695	-1.61754992725658	-3.88612699046733	0.00298514584074283	0.854474666675172	-4.54865625669704	Stable
ITGAD	-0.902895874280163	-0.130844886696643	-1.92762676718876	0.0825349769694676	0.854474666675172	-4.54868156148087	Stable
KRT86	1.10745550049098	-0.672193324001923	2.03463049529618	0.0690510536693565	0.854474666675172	-4.54870703343594	Stable
KLHDC7B	-0.246755647235999	2.78126197176528	-1.25163792277674	0.238975084019413	0.8756707764429	-4.54876623924198	Stable
TTC7B	0.262201324739901	2.57230051157105	1.25852893252701	0.236575643637945	0.875357662324813	-4.54879441075587	Stable
GRASLND	-0.540327061971847	0.106060394519851	-1.69054482938815	0.121569283526836	0.857437473074036	-4.54879845129841	Stable
NRXN1	-1.81278812427166	-1.32263883796927	-2.93817291783266	0.0147167983126498	0.854474666675172	-4.54880073640703	Stable
WTAP	-0.105544560987224	6.67735880772389	-1.25549380853769	0.237630038968665	0.875357662324813	-4.54882925139704	Stable
MANEAL	0.31148036190491	1.38151168134863	1.35895210452711	0.203797589944992	0.872378834614433	-4.54883232468682	Stable
DCAF4L1	-0.600351717711431	0.247387631544304	-1.79277918318002	0.103027992697955	0.857265311192949	-4.54886030832996	Stable
SEC14L5	0.364292411598747	1.2772418084824	1.39330319139574	0.193495513220227	0.872378834614433	-4.5488774704807	Stable
WWC1	0.801871423669745	-0.595992518736605	2.10199481140824	0.0616601604651132	0.854474666675172	-4.54892551278205	Stable
ASF1B	-0.237739729595122	4.3437407997423	-1.24078808993998	0.242793080499807	0.875913265932986	-4.5489741106393	Stable
CETN3	0.386218111876155	1.01686863997891	1.4087314726827	0.189013882804753	0.872378834614433	-4.54897938625186	Stable
PDE4B	-0.159307544626687	6.24265549739947	-1.25966764936575	0.236181041500392	0.875357662324813	-4.5489929034849	Stable
SORCS2	0.775168746135265	-0.29451212379469	1.8992699073148	0.0865012314332125	0.85567579215243	-4.54901681734373	Stable
PPP1CB-DT	-0.609453009468739	0.11070161335836	-1.81239864572841	0.0997799348238478	0.857265311192949	-4.54903490225967	Stable
SIGLEC6	0.231581035660147	2.14672314854172	1.29700847781336	0.223536610110602	0.872378834614433	-4.54905431361984	Stable
LGALSL-DT	-0.509356407130776	0.921497579872745	-1.57394931736092	0.146341940431711	0.872378834614433	-4.54919366426347	Stable
KCNJ2-AS1	-0.302839046141866	1.66420071494301	-1.38519083622339	0.195887905754594	0.872378834614433	-4.54921389854097	Stable
ST20-MTHFS	-0.409755066047031	3.15034564001857	-1.24622546530642	0.24087355197433	0.875719777324291	-4.54925772439035	Stable
MFSD3	-0.296005976167412	2.12803896620003	-1.29105168161615	0.225515549651093	0.874480341476485	-4.54927831202774	Stable
ZNF707	-0.107744394523965	4.0588402006443	-1.23911682888441	0.243385564425822	0.875913265932986	-4.54928925923448	Stable
ME3	0.289242708183002	1.13604797326563	1.37699809455825	0.198329331352716	0.872378834614433	-4.5494386032238	Stable
RPS8	0.359464181475575	8.20086873724159	1.23764273361516	0.243909122848676	0.875913265932986	-4.54968243616412	Stable
TK1	0.411171975198836	0.84726423413747	1.50163911476557	0.163858361444764	0.872378834614433	-4.54971996630952	Stable
LRRC3	-0.349557215269863	1.22686049409024	-1.41236183916851	0.187972241834925	0.872378834614433	-4.54973474677791	Stable
COA7	0.247002880636635	2.75965766705415	1.25028833721543	0.239447320316943	0.875719777324291	-4.54973987238936	Stable
FBXW9	0.446767908802994	1.32596609942717	1.41554572213842	0.187062732693307	0.872378834614433	-4.54975480614014	Stable
E2F6	0.195383290571675	2.67602004811298	1.25668100122691	0.23721715566257	0.875357662324813	-4.54980604839622	Stable
MYL9	0.362215172164901	4.26433982604122	1.23775043618573	0.24387083895329	0.875913265932986	-4.54995892291448	Stable
MEST	0.270598983830259	1.3841803207256	1.3728118762578	0.199586696234225	0.872378834614433	-4.55011147942484	Stable
GEMIN2	0.271913073187876	1.28421187946751	1.36411179286101	0.202221323831783	0.872378834614433	-4.55024149002706	Stable
SELENOP	0.664036398838588	0.148153662891876	1.75863412567296	0.108912560834388	0.857265311192949	-4.55035295942068	Stable
SLC35G1	0.320646278456047	0.886179795958826	1.44769682183243	0.178086926225425	0.872378834614433	-4.5503684852086	Stable
NXT1	0.256696694324144	2.79464097167388	1.2510600795582	0.239177185481097	0.8756707764429	-4.55037043355235	Stable
LINC02432	0.172061105194014	2.84912251705072	1.24879522110666	0.239970663961359	0.875719777324291	-4.55039543897614	Stable
H2BC18	-0.605653850718232	0.555442905168828	-1.73815692361674	0.112587038221145	0.857265311192949	-4.5503991119343	Stable
ZSWIM4	-0.211604971390146	2.52395201252637	-1.25796154579439	0.23677246208413	0.875357662324813	-4.55044167942098	Stable
AHI1	-0.325942145041847	1.45197887063068	-1.3377021669088	0.21039837972434	0.872378834614433	-4.55045187661619	Stable
ZFHX3	-0.164263914420567	3.43151963698112	-1.23316845079482	0.245503855830993	0.875913265932986	-4.55055592320274	Stable
DPM1	-0.121244486405465	4.3130681886453	-1.24007298906654	0.243046449798617	0.875913265932986	-4.55068775817218	Stable
EZR	0.112048358178643	7.41794428437412	1.24176533331843	0.24244717727591	0.875913265932986	-4.55087664655195	Stable
HAUS1	0.295543476636305	2.31959851867181	1.26520808678968	0.234268759339506	0.875122405814658	-4.55092946510408	Stable
CCDC183-AS1	-0.564334735410286	0.573122314777685	-1.54860748030361	0.152284115786145	0.872378834614433	-4.5509515805022	Stable
ARRDC4	-0.276453986124823	4.4773548871175	-1.2389479353682	0.243445504548949	0.875913265932986	-4.55099837643192	Stable
ATP6V1G2	-0.69970349925726	0.255485531197756	-1.70642198192394	0.118504443136326	0.857265311192949	-4.55101355461652	Stable
LINC00910	-0.24963927057979	2.77215177002715	-1.24384999792843	0.24171062960274	0.875881852708901	-4.55108304889702	Stable
NBPF15	-0.184100970598068	5.49885382820161	-1.25604258984118	0.237439110413715	0.875357662324813	-4.55108433515861	Stable
SMAD9	-0.454386911948924	0.335154132793126	-1.57782086990585	0.145452359174469	0.872378834614433	-4.55110081905785	Stable
RPL13AP5	0.294099076364868	2.65411952796467	1.24704847113161	0.240584087476384	0.875719777324291	-4.55120753288854	Stable
RAMP1	1.10899662352954	-0.567822163955154	2.06441161614634	0.0656854637012413	0.854474666675172	-4.55124050683908	Stable
PTCD2	0.185978217589271	3.03192856759645	1.23333481401459	0.245444409622969	0.875913265932986	-4.55129841258045	Stable
LAMTOR5-AS1	0.58507935672268	0.0695644330162196	1.71038227962091	0.117750925482254	0.857265311192949	-4.55138252718573	Stable
LGALS9B	0.440324257216543	1.83299154761778	1.26843262153743	0.23316164802833	0.875122405814658	-4.55145173480907	Stable
CRISP3	-1.2297189386944	0.129233184062156	-1.85224026042706	0.0934719961866204	0.857265311192949	-4.55169870957092	Stable
ITPRIP	-0.242147883602025	7.06912097336261	-1.24724754519299	0.240514112376693	0.875719777324291	-4.55175143928391	Stable
ZNF56P	0.775301735561072	0.0535318734556756	1.75031292417514	0.110392364522539	0.857265311192949	-4.55184856086822	Stable
