"gene_name","T1_value","T2_value","T3_value","change_type"
"MEGF9",0,0.66662754834009,0.0137143526885506,"Up"
"ALPK1",0,0.798884429357831,0.167127689879973,"Up"
"TLE3",0,0.796278027371773,-0.0249460638389181,"Up"
"KDM6B",0,0.826677580616284,-0.106733529270372,"Up"
"GAB2",0,0.655719772320217,-0.0657319731220918,"Up"
"SORL1",0,0.713496734258943,0.0156924245380665,"Up"
"F5",0,1.10359512054055,0.127150197057522,"Up"
"SEMA4A",0,0.949377592229596,-0.0510074547888593,"Up"
"IRAG1",0,1.22922246105265,0.283716534542507,"Up"
"ADGRE2",0,0.779200806914265,0.100214370639377,"Up"
"FCGR3B",0,0.735178474839906,-0.161469755850543,"Up"
"TLR1",0,0.610399692183419,0.0447574461855469,"Up"
"CASP4",0,0.713114052402872,0.208523996564886,"Up"
"CHST15",0,0.858412657881773,0.0951784668520137,"Up"
"FAM157B",0,0.963971218104354,-0.0823776367017715,"Up"
"SVIL",0,0.736311440743796,0.2014385958255,"Up"
"CCNJL",0,0.808253724163224,-0.0271253719311426,"Up"
"IFNAR1",0,0.693804200412208,0.172146726026922,"Up"
"LMTK2",0,0.653248548872668,0.24953012222293,"Up"
"SIRPB1",0,0.813112412788447,0.0696235241948138,"Up"
"HRH2",0,0.792967533187989,-0.119718683088912,"Up"
"DENND5A",0,0.666478559352454,-0.0572142131673665,"Up"
"TECPR2",0,0.829967575854025,-0.214960103695963,"Up"
"ANPEP",0,0.813346464677403,-0.150337974305061,"Up"
"MARCKS",0,0.922444857794364,0.109952020839746,"Up"
"GLT1D1",0,0.78065723268082,-0.273820696465076,"Up"
"BACH1",0,0.695255569944619,0.283855325133541,"Up"
"LIMK2",0,0.931203638052336,-0.0474562961790097,"Up"
"APBB1IP",0,0.645122541778218,0.216260126502254,"Up"
"STX3",0,0.600609807972762,-0.185113838552243,"Up"
"KCNJ2",0,0.965886394744215,0.098117352743273,"Up"
"PPP1R15A",0,0.888172268751368,0.230620966619929,"Up"
"NOD2",0,0.816456352814777,-0.170793324465979,"Up"
"CPEB4",0,0.62559895158625,-0.0250574356415694,"Up"
"PACSIN2",0,0.717820965026973,-0.0344451717121546,"Up"
"IL6R",0,0.679217232362474,-0.0840801307812775,"Up"
"FCGR1BP",0,1.20119985047235,0.185576772961561,"Up"
"RALB",0,0.913431574780184,0.207135631457733,"Up"
"ADM",0,1.51797886421403,-0.108629346711862,"Up"
"ELAPOR1",0,0.723493400891975,-0.0132757890772641,"Up"
"MME",0,0.639138273075927,-0.4318568725448,"Up"
"DOK3",0,0.940903004076803,-0.146162662279219,"Up"
"SLC2A3",0,0.815891117981824,-0.0963552847930726,"Up"
"PELATON",0,1.00542999609135,0.147438892843198,"Up"
"IFIT2",0,0.672783700116854,0.286445556513056,"Up"
"GNAQ",0,0.647214156499711,0.197258726424398,"Up"
"RNF149",0,0.653087392144323,-0.101653123625907,"Up"
"ASAP1",0,0.741086231977532,0.177728624475955,"Up"
"SLC11A1",0,0.897159456486966,-0.281168197664096,"Up"
"RNF141",0,0.762141802205809,0.0744425028336879,"Up"
"RBM47",0,0.711132518825979,-0.0486308675953726,"Up"
"ETS2",0,0.717538100354298,-0.00508725064472149,"Up"
"TNFSF13B",0,0.868030711468315,0.200266552655562,"Up"
"FFAR2",0,0.87041026720053,-0.204877578933101,"Up"
"CCR1",0,0.79338854252193,0.00119181791919143,"Up"
"TREM1",0,0.85199878810394,-0.0925142833643129,"Up"
"IL4R",0,0.802904769089904,-0.0442368385750997,"Up"
"TLR8",0,0.688550022587323,-0.0822439380222129,"Up"
