logFC	AveExpr	t	P.Value	adj.P.Val	B	change
IQGAP1	0.47347725509235	9.78628948993465	6.56675437403736	2.05345744404543e-05	0.00108673857048433	3.02652860595749	Stable
HAL	0.672664222282817	5.65249586200308	6.48021025307816	2.34323103306956e-05	0.00119565804328034	3.00614566145508	Up
STAT5B	0.549408646725462	8.81219429734796	6.53387065733736	2.15882291030112e-05	0.00111904698688995	2.98312123955466	Stable
JUNB	0.602188545956592	7.75883273128124	6.46223736052649	2.40866373601248e-05	0.00122267764879349	2.89104051618227	Up
CMIP	0.514762041087764	7.85217973338052	6.45569418827734	2.43296256389202e-05	0.00122864609476547	2.88104770744189	Stable
HEMGN	0.562337997124869	6.38688918619112	6.38550916274417	2.7105285693193e-05	0.0013479719996762	2.84541934481669	Stable
HCK	0.771712952576255	8.3355856519005	6.44016624121975	2.49167113135914e-05	0.00125184113199618	2.84486061512654	Up
PGD	0.766107121966876	7.31157093897793	6.41393532354201	2.59427500166366e-05	0.00129674041792341	2.83373300998888	Up
SLC15A3	0.644894684019722	6.89919504776875	6.38055568986928	2.73134401557765e-05	0.00135146350104112	2.79979588497002	Up
FNDC3B	0.567838262665308	7.50533339782269	6.3529300685466	2.85057387140528e-05	0.001403370463224	2.73521525635536	Stable
UBE2D1	0.618696756325726	6.30524833256793	6.31000896664402	3.04685711942118e-05	0.00147044626595908	2.72630838401119	Up
KIAA0040	0.574155707355548	7.33486915764289	6.34093276330502	2.90405552995942e-05	0.00142255160135062	2.71974528886009	Stable
MAP4K4	0.471695784586217	7.92898148174633	6.33295804218343	2.94019136902079e-05	0.0014330873055869	2.68882586842315	Stable
MMP9	1.4681422603676	5.94622218503259	6.27709615752295	3.20702817268956e-05	0.00150652728922646	2.68804298872984	Up
SAT1	0.568070145678851	6.71578361970221	6.29781722255428	3.10517995404162e-05	0.00148397307364614	2.68802296732106	Stable
CRISPLD2	0.647343332158067	6.78359550519836	6.30094670159616	3.09009748217385e-05	0.00148397307364614	2.6816009202548	Up
PHF21A	0.567106433204176	7.66423872300024	6.32310224981284	2.98550871857065e-05	0.00144797172850676	2.68152517164471	Stable
P2RY13	0.565902489187224	7.59542029017345	6.27627934650026	3.21111457644106e-05	0.00150652728922646	2.60939682624297	Stable
HCAR3	0.846079003193322	6.5268763334035	6.2446047513773	3.37389866985846e-05	0.00152934777716994	2.60682715013437	Up
CXCR1	0.571133110204004	9.54836622233097	6.29001387943418	3.14312786958922e-05	0.00149481668632843	2.59696928818254	Stable
DOCK5	0.572762411409849	8.84531124761885	6.27572642877519	3.21388387719026e-05	0.00150652728922646	2.58260211544177	Stable
MEFV	0.579836533741787	8.17490097328895	6.26305406223827	3.27805027131576e-05	0.00152204068758675	2.57180569140372	Stable
NCF2	0.580122531804461	8.79359637149829	6.26509197174596	3.26764068153974e-05	0.00152204068758675	2.56539169902058	Stable
RGS2	0.669384397031914	7.78724884028277	6.24602894288737	3.36639525872075e-05	0.00152934777716994	2.55410054885169	Up
LBR	0.480969763188173	8.06422135885891	6.24498016064471	3.37191909765309e-05	0.00152934777716994	2.54680334600033	Stable
FLOT2	0.667720462258657	8.58907885023633	6.24217385573072	3.38674678508311e-05	0.00152934777716994	2.53134541940725	Up
C5AR1	0.79146397821737	8.35469146152255	6.23863638695439	3.40553592652732e-05	0.00153046034276092	2.52949635912881	Up
IQSEC1	0.516706847852458	9.13637386446233	6.24314907744833	3.38158620738707e-05	0.00152934777716994	2.52723904129099	Stable
ZYX	0.608216606747314	9.13177456102186	6.24204110408	3.38744990962414e-05	0.00152934777716994	2.52524592933565	Up
MMP25-AS1	0.664350006017444	6.74833306490418	6.17352778562498	3.77174910366241e-05	0.00166449666525138	2.48523094566825	Up
XPO6	0.601349305553338	9.95289481108355	6.21141681080139	3.55384729430992e-05	0.00158981926677417	2.47148995534231	Up
IL1RN	0.762863034058785	5.75186735647728	6.12420370487562	4.07676667825907e-05	0.00175175803275895	2.46541107086624	Up
SP1	0.45751778158375	8.51883714573438	6.19625537938358	3.63940183440769e-05	0.00161780299008014	2.46170003873878	Stable
TRIM25	0.623962372826101	8.37927595407302	6.1945032918185	3.64942799640411e-05	0.00161780299008014	2.45952251695406	Up
ETV6	0.51729305256423	6.7432139555093	6.14806400647555	3.92608795070145e-05	0.00171713766308134	2.45257206206126	Stable
MKNK1	0.671673743589307	6.54013095961458	6.13887425393465	3.98341347728361e-05	0.00173446674830878	2.44763986841998	Up
SBF2	0.614421092630695	6.96372163243982	6.14850573794615	3.92335446870767e-05	0.00171713766308134	2.4407371701711	Up
IL1B	0.905897418429932	5.04016886286091	6.0884898992148	4.31381100665547e-05	0.00184551993153728	2.41612719505973	Up
