"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","change_type"
"APOBEC3G",0.118580519082686,6.32191966105237,1.17480069462617,0.270343778783081,0.901887330385515,-4.91210766515477,"Stable","stable_up"
"COX7C",0.152632631708568,5.04628470626035,1.59210519235497,0.145968167116579,0.864522805573267,-4.48454424240921,"Stable","stable_up"
"NDUFA5",0.215421609036854,3.99618681927713,2.83809981048529,0.0195438119593731,0.825819064074335,-3.03075940925318,"Stable","stable_up"
"KIFAP3",0.079488130212348,3.71955500824285,0.862408142462426,0.410945743486738,0.926132024262009,-5.04957921668526,"Stable","stable_up"
"SMC2",0.104862344535725,3.15304427118216,1.20183231682709,0.26022307847789,0.897492640304775,-4.71833439428615,"Stable","stable_up"
"RPL27",0.251769751864973,7.1686403848318,2.16204423720186,0.0589971933446041,0.825819064074335,-3.80986295808432,"Stable","stable_up"
"RPS14",0.241555322229409,8.15173873469942,3.12926196673307,0.0121986576098686,0.825819064074335,-2.7050286524704,"Stable","stable_up"
"ZNF831",0.106745091646752,5.69427334002297,1.02555628713891,0.331984660590413,0.911140076696633,-5.0534817621558,"Stable","stable_up"
"PRKACB",0.190734319426816,6.45107067054596,2.25130455901333,0.0510151281783985,0.825819064074335,-3.70807549031687,"Stable","stable_up"
"TRGC2",0.340118946535249,5.34862898990188,2.95841483414768,0.0160733545015098,0.825819064074335,-2.84093574019158,"Stable","stable_up"
"PLEKHA1",0.112248794613889,4.90549137089455,0.980325447186348,0.352646941180239,0.91576495154641,-5.07333185426579,"Stable","stable_up"
"TMEM181",0.208145818774374,5.53522325252029,1.83288227859413,0.100177506221533,0.844582670926532,-4.21668085257258,"Stable","stable_up"
"LINC01934",0.125540783509839,2.41210114450441,1.23936356226142,0.246684104003574,0.895042483249257,-4.61261157968623,"Stable","stable_up"
"PLAAT4",0.14337041172984,5.16452746799751,1.25941860154308,0.239689954153612,0.890057724484482,-4.83416008805336,"Stable","stable_up"
"ZFAND1",0.194979693129993,3.26665512887295,2.11928047817985,0.0632397578709467,0.825819064074335,-3.85464583434363,"Stable","stable_up"
